time,	th_ref,	th_res,	th_error
-1,	-1.5708,	-1.5708,	-2.38419e-07
-0.9,	-1.11977,	-1.12022,	-0.000452042
-0.8,	-0.927295,	-0.927589,	-0.000293732
-0.7,	-0.775397,	-0.775603,	-0.000205338
-0.6,	-0.643501,	-0.643646,	-0.000145018
-0.5,	-0.523599,	-0.523699,	-0.000100136
-0.4,	-0.411517,	-0.411582,	-6.54459e-05
-0.3,	-0.304693,	-0.304731,	-3.85046e-05
-0.2,	-0.201358,	-0.201376,	-1.83433e-05
-0.1,	-0.100167,	-0.100173,	-5.17815e-06
0,	0,	0,	0
0.1,	0.100167,	0.100173,	5.17815e-06
0.2,	0.201358,	0.201376,	1.83433e-05
0.3,	0.304693,	0.304731,	3.85046e-05
0.4,	0.411517,	0.411582,	6.54459e-05
0.5,	0.523599,	0.523699,	0.000100136
0.6,	0.643501,	0.643646,	0.000145018
0.7,	0.775397,	0.775603,	0.000205338
0.8,	0.927295,	0.927589,	0.000293732
0.9,	1.11977,	1.12022,	0.000452042
1,	1.5708,	1.5708,	2.38419e-07
